Rank,Name,Japanese_name,Type,Episodes,Studio,Release_season,Genres,Score
1,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc, Kimetsu no Yaiba: Yuukaku-hen,TV   ,,ufotable,Fall ,"Action, Adventure, Fantasy, Shounen, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Based on a Manga, Explicit Violence",4.6
2,Fruits Basket the Final Season, Fruits Basket the Final,TV   ,13,TMS Entertainment,Spring,"Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Dysfunctional Families, Mental Illness, Orphans, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Suicide,, Violence,, Domestic Abuse",4.6
3,Mo Dao Zu Shi 3, The Founder of Diabolism 3,Web  ,12,B.C MAY PICTURES,,"Fantasy, Ancient China, Chinese Animation, Cultivation, Xianxia, Based on a Web Novel",4.58
4,Fullmetal Alchemist: Brotherhood, Hagane no Renkinjutsushi: Full Metal Alchemist,TV   ,64,Bones,Spring,"Action, Adventure, Drama, Fantasy, Mystery, Shounen, Conspiracy, Death of a Loved One, Military, Siblings, Based on a Manga, Animal Abuse,, Mature Themes,, Violence,, Domestic Abuse",4.58
5,Attack on Titan 3rd Season: Part II, Shingeki no Kyojin Season 3: Part II,TV   ,10,WIT Studio,Spring,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Outside World, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence",4.57
6,Jujutsu Kaisen,,TV   ,24,MAPPA,Fall ,"Action, Horror, Shounen, Curse, Exorcists, Monsters, School Life, Supernatural, Based on a Manga, Explicit Violence",4.56
7,Attack on Titan The Final Season: Part II, Shingeki no Kyojin The Final Season: Part II,TV   ,,MAPPA,Winter,"Action, Drama, Fantasy, Horror, Shounen, Dark Fantasy, Military, War, Based on a Manga",4.56
8,Attack on Titan The Final Season, Shingeki no Kyojin The Final Season,TV   ,16,MAPPA,Winter,"Action, Drama, Fantasy, Horror, Shounen, Dark Fantasy, Military, War, Based on a Manga, Explicit Violence,, Mature Themes,, Physical Abuse,, Suicide",4.55
9,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train, Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,,ufotable,,"Action, Drama, Fantasy, Shounen, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Trains, Based on a Manga, Mature Themes,, Suicide,, Violence",4.54
10,Haikyuu!! Karasuno High School vs Shiratorizawa Academy, Haikyuu!! Karasuno Koukou vs Shiratorizawa Gakuen Koukou,TV   ,10,Production I.G,Fall ,"Shounen, Sports, Animeism, School Club, School Life, Tournaments, Volleyball, Based on a Manga",4.53
11,your name., Kimi no Na wa.,Movie,,CoMix Wave Films,,"Drama, Romance, Body Swapping, Gender Bender, Opposites Attract, School Life, Supernatural, Original Work",4.51
12,Haikyuu!! Second Season,,TV   ,25,Production I.G,Fall ,"Shounen, Sports, School Club, School Life, Tournaments, Volleyball, Based on a Manga",4.51
13,Demon Slayer: Kimetsu no Yaiba, Kimetsu no Yaiba,TV   ,26,ufotable,Spring,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Death of a Loved One, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Based on a Manga, Violence",4.51
14,Hunter x Hunter (2011),,TV   ,148,MADHOUSE,Fall ,"Action, Adventure, Drama, Fantasy, Shounen, Monsters, Superpowers, Based on a Manga, Violence",4.51
15,A Silent Voice, Koe no Katachi,Movie,,Kyoto Animation,,"Drama, Shounen, Disability, Melancholy, Mental Illness, School Life, Based on a Manga, Bullying,, Mature Themes,, Suicide",4.51
16,Violet Evergarden Movie,,Movie,,Kyoto Animation,,"Drama, Melancholy, War, Based on a Light Novel, Violence",4.5
17,Haikyuu!! To the Top: Part II,,TV   ,12,Production I.G,Fall ,"Shounen, Sports, Animeism, School Club, Tournaments, Volleyball, Based on a Manga",4.5
18,Heaven Official's Blessing Special, Tian Guan Ci Fu Special,Web  ,1,Haoliners Animation League,,"BL, Romance, Shounen-ai, Afterlife, Ancient China, Chinese Animation, Demon King, Ghosts, Gods, Interspecies Relationship, Non-Human Protagonists, Opposites Attract, Royalty, Supernatural, Xianxia, Based on a Web Novel",4.5
19,That Time I Got Reincarnated as a Slime Season 2, Tensei Shitara Slime Datta Ken Season 2,TV   ,12,8-Bit,Winter,"Action, Adventure, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga",4.48
